M Kaif,ST Jayasuriya,0.375,0.375,0.25,0.0,0.0,0.0,0.0
MG Johnson,R Vinay Kumar,0.3333,0.5,0.0,0.0,0.0,0.1667,0.0
NLTC Perera,R Sharma,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0
SC Ganguly,CRD Fernando,0.3333,0.3333,0.0,0.0,0.1667,0.1667,0.0
Yuvraj Singh,Z Khan,0.5,0.0,0.0,0.0,0.0,0.0,0.5
SK Trivedi,L Balaji,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MC Henriques,R Vinay Kumar,0.4,0.6,0.0,0.0,0.0,0.0,0.0
SR Watson,RR Raje,0.4286,0.1429,0.0,0.0,0.2857,0.0,0.1429
Mohammad Ashraful,PJ Sangwan,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333
RR Sarwan,MA Khote,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P Kumar,SC Ganguly,0.7778,0.1111,0.0,0.0,0.0,0.1111,0.0
MK Pandey,S Sreesanth,0.4545,0.3636,0.0909,0.0,0.0909,0.0,0.0
MM Patel,I Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R Vinay Kumar,MF Maharoof,0.0,0.5,0.5,0.0,0.0,0.0,0.0
JH Kallis,S Narwal,0.4,0.4,0.1,0.0,0.1,0.0,0.0
SE Marsh,SB Bangar,0.4118,0.2941,0.1176,0.0,0.1765,0.0,0.0
A Kumble,A Flintoff,0.5,0.5,0.0,0.0,0.0,0.0,0.0
M Vijay,SA Yadav,0.5,0.25,0.25,0.0,0.0,0.0,0.0
A Ashish Reddy,SL Malinga,0.5,0.25,0.25,0.0,0.0,0.0,0.0
SPD Smith,MM Sharma,0.3043,0.3913,0.2174,0.0,0.0435,0.0,0.0435
MS Dhoni,KW Richardson,0.0,0.6667,0.3333,0.0,0.0,0.0,0.0
V Sehwag,SR Watson,0.4,0.2,0.0,0.0,0.2,0.0,0.2
SV Samson,Azhar Mahmood,0.0,0.8,0.0,0.0,0.2,0.0,0.0
DJ Hooda,Karanveer Singh,0.375,0.125,0.25,0.0,0.0,0.25,0.0
RV Uthappa,Sandeep Sharma,0.5217,0.1739,0.0435,0.0,0.2174,0.0,0.0435
Shoaib Malik,B Lee,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0
VH Zol,JP Faulkner,0.5,0.25,0.0,0.0,0.25,0.0,0.0
G Gambhir,Shoaib Ahmed,0.4,0.0,0.0,0.0,0.4,0.0,0.2
MS Bisla,JD Unadkat,0.25,0.5,0.0,0.0,0.25,0.0,0.0
B Kumar,AD Russell,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SR Tendulkar,R McLaren,0.1429,0.1429,0.0,0.0,0.7143,0.0,0.0
M Vohra,BAW Mendis,0.25,0.25,0.0,0.25,0.25,0.0,0.0
MA Agarwal,SN Thakur,0.3333,0.2222,0.1111,0.0,0.3333,0.0,0.0
BB McCullum,DE Bollinger,0.5,0.25,0.0,0.0,0.25,0.0,0.0
AB de Villiers,Ankit Sharma,0.3,0.4,0.0,0.0,0.1,0.2,0.0
HH Gibbs,BJ Hodge,0.25,0.6667,0.0,0.0,0.0833,0.0,0.0
RP Singh,M Kartik,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Shoaib Malik,P Kumar,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0
